Operation,Category,BeforeStatus,AfterStatus,HTTPMethod,APIEndpoint,Implementations,BuiltVia,Iterations,Notes
tasks/index,LIST,YES,DONE,GET,/api/tasks,Already working pre-pilot,Existing REST,,No changes needed
tasks/table,LIST,YES,DONE,GET,/api/tasks?limit=&offset=,Already working pre-pilot,Existing REST,,No changes needed
tasks/list_tasks,LIST,GAP,DONE,GET,/api/tasks?limit=200,Covered by data_get list endpoint,Existing REST API,1,data_get already returns paginated list with filters
tasks/kanban,VIEW,GAP,DONE,GET,/api/tasks?limit=500,Board view groups tasks by status client-side,Existing REST + tasks queries (useTasksByStatus),1,Client-side grouping in mobile; no dedicated kanban API needed
tasks/ajax_search_assign_task_to_timer,SEARCH,GAP,DONE,GET,/api/tasks?search=&assigned=,Covered by data_get with search+assigned params,Existing REST API,1,Search and assignee filter already supported
tasks/tasks_kanban_load_more,PAGINATION,GAP,DONE,GET,/api/tasks?limit=&offset=,Pagination via limit/offset params,Existing REST API,1,Offset-based pagination in data_get
tasks/update_order,REORDER,GAP,DONE,PUT,/api/tasks/{id},{kanban_order: N},Covered by data_put (kanban_order in whitelist),Existing REST API,1,kanban_order column in data_put whitelist
tasks/switch_kanban,PREFERENCE,GAP,RETAINED_GAP, , ,Session-only preference,N/A,1,Mobile uses local state (viewMode) - not a server concern
tasks/get_billable_tasks_by_project,FILTER,GAP,DONE,GET,/api/tasks?project=&billable=1,data_get supports project filter,Existing REST API,1,project filter param already in data_get
tasks/get_billable_tasks_by_customer_id,FILTER,GAP,DONE,GET,/api/tasks?rel_type=customer&rel_id=,Filtered by rel_type+rel_id params,Existing REST API,1,rel_type/rel_id filters in data_get
tasks/update_task_description,UPDATE,GAP,DONE,PUT,/api/tasks/{id},{description: text},Covered by data_put partial update,Existing REST API,1,description in data_put whitelist
tasks/detailed_overview,VIEW,GAP,RETAINED_GAP, , ,Server-rendered HTML panel,Not needed for mobile,1,Mobile has custom detail layout
tasks/init_relation_tasks,VIEW,GAP,DONE,GET,/api/tasks?rel_type=&rel_id=,Filtered list by relation,Existing REST API,1,rel_type/rel_id filters cover this
tasks/task,CREATE/EDIT,GAP,DONE,"POST,PUT",/api/tasks + /api/tasks/{id},data_post (create) + data_put (edit),Existing REST API + CrudFormScreen,1,Full CRUD via generic CrudFormScreen
tasks/set_complete_type,UPDATE,GAP,DONE,PUT,/api/tasks/{id},{complete_type: value},Covered by data_put,Existing REST API,1,complete_type in data_put whitelist
tasks/copy,DUPLICATE,YES,DONE,POST,/api/tasks/{id}/copy,New REST endpoint + useCopyTask mutation,New API endpoint (this batch),2,Added copy_post method; mobile: handleCopy with confirmation
tasks/get_billable_task_data,VALIDATE,GAP,DONE,GET,/api/tasks/{id},Covered by data_get single,Existing REST API,1,Single task GET returns billable/hourly_rate
tasks/get_task_data,VALIDATE,GAP,DONE,GET,/api/tasks/{id},Covered by data_get single,Existing REST API,1,Same as above
tasks/add_reminder,CREATE,GAP,DONE,POST,/api/tasks/{id}/reminders,New REST endpoint + useAddReminder,New API endpoint (this batch),2,Added reminders_post; mobile has useAddReminder hook
tasks/edit_reminder,UPDATE,GAP,RETAINED_GAP, , ,No REST endpoint yet (low priority),Not added in pilot,,Can be added in next batch
tasks/delete_reminder,DELETE,YES,DONE,DELETE,/api/tasks/reminders/{id},New REST endpoint + useDeleteReminder,New API endpoint (this batch),2,Added reminders_delete; mobile has useDeleteReminder hook
